Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11,0.7162923394,2.7959608364e-14,0.00012255590954,0.0010867117395,0.00018201856892,8.7466531962,7.4078485165,0.0012954724138,7.4065530441,1.3388046797,0.009596091954,1.3292085878,3.3414175495e-07,6.9950515436
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11 -> Baustoff  Voranstrich (Kunstharz),0.0270180505,4.5695589118e-15,1.5825118314e-05,7.8359513313e-05,1.4187842224e-05,0.6398626494,0.5348853361,0.0,0.5348853361,0.1049773133,0.0,0.1049773133,1.5359365132e-07,0.512701653
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11 -> Baustoff  Estrichmörtel-Zementestrich,0.0856931011,1.7268167471e-14,1.5699206437e-05,0.00014873942529,2.1879089655e-05,0.6734537333,0.5911192644,0.0012954724138,0.589823792,0.082334469,0.009596091954,0.072738377,9.6138447241e-08,0.5580127471
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0064835452975,2.3377088614e-17,8.1573661098e-07,4.8129468762e-06,5.9299222604e-07,0.0981091383,0.0936437916,0.0,0.0936437916,0.0044653467195,0.0,0.0044653467195,1.5021186561e-09,0.0914894154
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11 -> Baustoff  Perlite 0-1,0.0527637801,1.2692209875e-16,7.3296558167e-06,6.0627597164e-05,1.0699761746e-05,0.7300533939,0.7045503335,0.0,0.7045503335,0.0255030603,0.0,0.0255030603,2.9506117679e-09,0.6967268317
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11 -> Baustoff  Bitumenbahnen V 60,0.0119874286,1.1093238524e-16,4.8069141886e-06,3.7557616022e-05,8.8261631206e-06,0.9672211044,0.9441521894,0.0,0.9441521894,0.0230689149,0.0,0.0230689149,3.459881713e-09,0.9332567163
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11 -> Baustoff  Bewehrungsstahl,0.1319914648,4.0277383992e-15,5.1378806142e-05,0.00024771338923,3.3681007872e-05,2.4313218929,1.6995674313,0.0,1.6995674313,0.7317544615,0.0,0.7317544615,4.4465610428e-08,1.4732631506
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11 -> Baustoff  Transportbeton C20/25,0.2947739513,1.3528555612e-15,4.4018677542e-06,0.00043990918045,8.287498543e-05,1.711168433,1.4342684647,0.0,1.4342684647,0.2768999683,0.0,0.2768999683,2.4533928502e-08,1.3563609711
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 11 -> Baustoff  XPS-Dämmstoff,0.1055810177,4.8005644839e-16,2.2298604276e-05,6.8992071202e-05,9.2767266488e-06,1.4954628511,1.4056617055,0.0,1.4056617055,0.0898011456,0.0,0.0898011456,7.4975053202e-09,1.3732400582
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.426765416,5.3805939603e-15,5.5780673896e-05,0.00068762256968,0.0001165559933,4.1424903258,3.133835896,0.0,3.133835896,1.0086544298,0.0,1.0086544298,6.899953893e-08,2.8296241217
