Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2,1.3576385598,1.241372663e-13,0.00023393351481,0.0019595946806,0.00033320472441,18.9945663351,16.4817100199,0.0,16.4817100199,2.5128563152,0.0,2.5128563152,5.2086163316e-07,15.6779211126
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Voranstrich (Kunstharz),0.0616787396,1.0431716158e-14,3.6126712798e-05,0.00017888470571,3.2389021749e-05,1.4607242554,1.2210745306,0.0,1.2210745306,0.2396497248,0.0,0.2396497248,3.5063458096e-07,1.170432031
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Zementestrich,0.3526433306,1.044606828e-13,3.6507555677e-05,0.00046739174907,7.4101474494e-05,3.1229847641,2.5928812239,0.0,2.5928812239,0.5301035402,0.0,0.5301035402,3.5951715087e-08,2.3999021079
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0148011013,5.3366891145e-17,1.8622219233e-06,1.0987339624e-05,1.3537250981e-06,0.2239705632,0.2137767501,0.0,0.2137767501,0.0101938131,0.0,0.0101938131,3.4291439849e-09,0.2088585861
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Bitumenbahnen V 60,0.0547315203,5.0648877839e-16,2.1947135546e-05,0.00017147842821,4.0297993839e-05,4.4160831352,4.3107563947,0.0,4.3107563947,0.1053267404,0.0,0.1053267404,1.5796931243e-08,4.261010463
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  XPS-Dämmstoff,0.2892334852,1.3150886655e-15,6.1085819883e-05,0.00018900004604,2.541309071e-05,4.0967395642,3.8507341847,0.0,3.8507341847,0.2460053795,0.0,0.2460053795,2.053901015e-08,3.7619168364
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Bewehrungsstahl,0.180791738,5.516885706e-15,7.0374729713e-05,0.00033929871327,4.6133649328e-05,3.3302373859,2.327936509,0.0,2.327936509,1.0023008769,0.0,1.0023008769,6.0905566913e-08,2.017962343
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Transportbeton C20/25,0.4037586449,1.8530373048e-15,6.0293392684e-06,0.00060255369863,0.0001135157692,2.3438266672,1.9645504269,0.0,1.9645504269,0.3792762403,0.0,0.3792762403,3.3604684825e-08,1.8578387452
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.8737838681,8.6850116763e-15,0.00013748988886,0.0011308524579,0.00018506250923,9.7708036172,8.1432211206,0.0,8.1432211206,1.6275824966,0.0,1.6275824966,1.1504926189e-07,7.6377179246
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.2892334852,1.3150886655e-15,6.1085819883e-05,0.00018900004604,2.541309071e-05,4.0967395642,3.8507341847,0.0,3.8507341847,0.2460053795,0.0,0.2460053795,2.053901015e-08,3.7619168364
