Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1,1.2612273981,1.2369890342e-13,0.00021357157485,0.0018965946652,0.00032473369418,17.6289864804,15.1981319583,0.0,15.1981319583,2.4308545221,0.0,2.4308545221,5.1401529645e-07,14.4239488338
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Voranstrich (Kunstharz),0.0616787396,1.0431716158e-14,3.6126712798e-05,0.00017888470571,3.2389021749e-05,1.4607242554,1.2210745306,0.0,1.2210745306,0.2396497248,0.0,0.2396497248,3.5063458096e-07,1.170432031
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Zementestrich,0.3526433306,1.044606828e-13,3.6507555677e-05,0.00046739174907,7.4101474494e-05,3.1229847641,2.5928812239,0.0,2.5928812239,0.5301035402,0.0,0.5301035402,3.5951715087e-08,2.3999021079
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0148011013,5.3366891145e-17,1.8622219233e-06,1.0987339624e-05,1.3537250981e-06,0.2239705632,0.2137767501,0.0,0.2137767501,0.0101938131,0.0,0.0101938131,3.4291439849e-09,0.2088585861
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Bitumenbahnen V 60,0.0547315203,5.0648877839e-16,2.1947135546e-05,0.00017147842821,4.0297993839e-05,4.4160831352,4.3107563947,0.0,4.3107563947,0.1053267404,0.0,0.1053267404,1.5796931243e-08,4.261010463
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  XPS-Dämmstoff,0.1928223235,8.76725777e-16,4.0723879922e-05,0.00012600003069,1.6942060473e-05,2.7311597095,2.5671561231,0.0,2.5671561231,0.1640035863,0.0,0.1640035863,1.3692673434e-08,2.5079445576
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Bewehrungsstahl,0.180791738,5.516885706e-15,7.0374729713e-05,0.00033929871327,4.6133649328e-05,3.3302373859,2.327936509,0.0,2.327936509,1.0023008769,0.0,1.0023008769,6.0905566913e-08,2.017962343
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Transportbeton C20/25,0.4037586449,1.8530373048e-15,6.0293392684e-06,0.00060255369863,0.0001135157692,2.3438266672,1.9645504269,0.0,1.9645504269,0.3792762403,0.0,0.3792762403,3.3604684825e-08,1.8578387452
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.7773727064,8.2466487878e-15,0.0001171279489,0.0010678524426,0.000176591479,8.4052237625,6.859643059,0.0,6.859643059,1.5455807035,0.0,1.5455807035,1.0820292517e-07,6.3837456458
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.1928223235,8.76725777e-16,4.0723879922e-05,0.00012600003069,1.6942060473e-05,2.7311597095,2.5671561231,0.0,2.5671561231,0.1640035863,0.0,0.1640035863,1.3692673434e-08,2.5079445576
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Transportbeton C20/25,0.4037586449,1.8530373048e-15,6.0293392684e-06,0.00060255369863,0.0001135157692,2.3438266672,1.9645504269,0.0,1.9645504269,0.3792762403,0.0,0.3792762403,3.3604684825e-08,1.8578387452
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Bewehrungsstahl,0.180791738,5.516885706e-15,7.0374729713e-05,0.00033929871327,4.6133649328e-05,3.3302373859,2.327936509,0.0,2.327936509,1.0023008769,0.0,1.0023008769,6.0905566913e-08,2.017962343
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm,0.4838546917,1.1545225463e-13,9.6443625944e-05,0.00082874222261,0.00014814221518,9.2237627179,8.3384888993,0.0,8.3384888993,0.8852738186,0.0,0.8852738186,4.0581237128e-07,8.040203188
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Voranstrich (Kunstharz),0.0616787396,1.0431716158e-14,3.6126712798e-05,0.00017888470571,3.2389021749e-05,1.4607242554,1.2210745306,0.0,1.2210745306,0.2396497248,0.0,0.2396497248,3.5063458096e-07,1.170432031
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Zementestrich,0.3526433306,1.044606828e-13,3.6507555677e-05,0.00046739174907,7.4101474494e-05,3.1229847641,2.5928812239,0.0,2.5928812239,0.5301035402,0.0,0.5301035402,3.5951715087e-08,2.3999021079
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0148011013,5.3366891145e-17,1.8622219233e-06,1.0987339624e-05,1.3537250981e-06,0.2239705632,0.2137767501,0.0,0.2137767501,0.0101938131,0.0,0.0101938131,3.4291439849e-09,0.2088585861
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Bitumenbahnen V 60,0.0547315203,5.0648877839e-16,2.1947135546e-05,0.00017147842821,4.0297993839e-05,4.4160831352,4.3107563947,0.0,4.3107563947,0.1053267404,0.0,0.1053267404,1.5796931243e-08,4.261010463
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 1,1.2692661513,1.4534355432e-10,0.0017247760356,0.002782347722,0.00072704408039,22.7263539193,20.6096593874,0.034246481,20.5754129064,2.1166945319,0.0,2.1166945319,2.2481870494e-06,19.8756005874
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 1 -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest,0.072224428,1.0839237385e-15,2.9924976832e-05,0.00025407124199,2.129658568e-05,1.7962868074,1.5957721945,0.0,1.5957721945,0.2005146128,0.0,0.2005146128,3.1596614334e-07,1.5272358766
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 1 -> Baustoff  Gipsputz (Gips),0.0388610885,4.6952982505e-16,5.5250468319e-06,5.8093401136e-05,8.9696313402e-06,0.6836878561,0.5789538102,0.0,0.5789538102,0.1047340459,0.0,0.1047340459,5.9094873022e-09,0.5520180633
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 1 -> Baustoff  Mauersteine aus Leichtbeton aus natürlichen Zuschlägen - Hohlblock -,0.2941381872,1.2947720134e-10,6.140993642e-05,0.00069604763757,0.00045316979579,2.0416282873,1.8327787027,0.0,1.8327787027,0.2088495846,0.0,0.2088495846,4.1885076602e-07,1.7162889311
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 1 -> Baustoff  Kunstharzputz,0.1794117844,1.5252950929e-14,0.00023498083401,0.00054001653166,7.5356941176e-05,4.6060014543,4.0846012815,0.0,4.0846012815,0.5214001728,0.0,0.5214001728,4.9334569085e-07,3.9267336835
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 1 -> Baustoff  Dämmplatte mit Neopor® Plus,0.3423595443,1.5825923453e-11,0.0010290857013,0.00032249939241,3.6878126582e-05,5.167008,5.0045828354,0.034246481,4.9703363544,0.1624251646,0.0,0.1624251646,2.6362772658e-07,4.9267563038
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 1 -> Baustoff  Kunstharzestrich,0.0731534424,7.4368646296e-16,1.1378289227e-05,0.00010159471974,1.8337588053e-05,1.5227393328,1.3860686409,0.0,1.3860686409,0.136670692,0.0,0.136670692,1.0468698987e-08,1.3364672039
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 1 -> Baustoff  Kunstharzputz,0.2691176766,2.2879426393e-14,0.00035247125102,0.00081002479749,0.00011303541176,6.9090021814,6.1269019222,0.0,6.1269019222,0.7821002592,0.0,0.7821002592,7.4001853628e-07,5.8901005252
