Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12,2.1481646611,6.7642546946e-14,0.0003863930134,0.0028531338367,0.00046773986232,27.1492020244,23.6128178915,0.0030351176471,23.6097827739,3.5363841329,0.0224823529,3.51390178,8.1622392429e-07,22.5013669354
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12 -> Baustoff  Voranstrich (Kunstharz),0.0632996589,1.0705862004e-14,3.7076124007e-05,0.0001835858017,3.3240206314e-05,1.4991121372,1.2531644097,0.0,1.2531644097,0.2459477275,0.0,0.2459477275,3.5984926937e-07,1.2011910236
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12 -> Baustoff  Estrichmörtel-Zementestrich,0.2007674118,4.0456994118e-14,3.6781129412e-05,0.00034847647059,5.1259764706e-05,1.5778115294,1.3849129412,0.0030351176471,1.3818778235,0.1928985882,0.0224823529,0.1704162353,2.2523945294e-07,1.3073488235
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0151900747,5.4769374812e-17,1.9111611772e-06,1.1276087273e-05,1.3893010385e-06,0.229856517,0.2193948102,0.0,0.2193948102,0.0104617069,0.0,0.0104617069,3.5192620025e-09,0.2143473966
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12 -> Baustoff  Perlite 0-1,0.1236184409,2.9736140857e-16,1.7172397868e-05,0.0001420423068,2.5068102839e-05,1.7104169224,1.6506666818,0.0,1.6506666818,0.0597502406,0.0,0.0597502406,6.9128865663e-09,1.6323372691
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12 -> Baustoff  Bitumenbahnen V 60,0.0280849332,2.5989966014e-16,1.1261953498e-05,8.7992443495e-05,2.0678513226e-05,2.2660689732,2.2120216078,0.0,2.2120216078,0.0540473653,0.0,0.0540473653,8.1060375597e-09,2.1864949796
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12 -> Baustoff  Bewehrungsstahl,0.3092382514,9.4364494086e-15,0.00012037363324,0.00058035915783,7.8910071935e-05,5.6962602246,3.9818579294,0.0,3.9818579294,1.7144022952,0.0,1.7144022952,1.0417694538e-07,3.4516574338
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12 -> Baustoff  Transportbeton C20/25,0.6906157259,3.1695586443e-15,1.0312984174e-05,0.0010306480497,0.00019416494562,4.0090375161,3.3602981286,0.0,3.3602981286,0.6487393874,0.0,0.6487393874,5.7479695094e-08,3.1777713484
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 12 -> Baustoff  XPS-Dämmstoff,0.7173501643,3.2616523281e-15,0.00015150363003,0.00046875351933,6.3028956642e-05,10.1606382046,9.5505013828,0.0,9.5505013828,0.6101368217,0.0,0.6101368217,5.0940375376e-08,9.3302186609
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.9998539772,1.2606008053e-14,0.00013068661741,0.0016110072075,0.00027307501756,9.7052977406,7.342156058,0.0,7.342156058,2.3631416826,0.0,2.3631416826,1.6165664048e-07,6.6294287821
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Transportbeton C20/25,0.6906157259,3.1695586443e-15,1.0312984174e-05,0.0010306480497,0.00019416494562,4.0090375161,3.3602981286,0.0,3.3602981286,0.6487393874,0.0,0.6487393874,5.7479695094e-08,3.1777713484
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Bewehrungsstahl,0.3092382514,9.4364494086e-15,0.00012037363324,0.00058035915783,7.8910071935e-05,5.6962602246,3.9818579294,0.0,3.9818579294,1.7144022952,0.0,1.7144022952,1.0417694538e-07,3.4516574338
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm,0.4309605195,5.1774886565e-14,0.00010420276596,0.00077337310986,0.00013163588812,7.2832660792,6.7201604507,0.0030351176471,6.717125333,0.5631056285,0.0224823529,0.5406232756,6.0362690844e-07,6.5417194924
