Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,3.8793543483,0.850251421,24.9342088594,0.5346664356,0.2485428722,30.4470239364,-0.2875833867
ODP,kg R11 eqv./m²a,2.8305072883e-10,3.5465278359e-11,1.0302628849e-14,4.670055036e-15,7.5625831062e-15,3.1853854246e-10,-4.3193164552e-14
POCP,kg ethene eqv./m²a,0.0018358568544,0.00073606361074,0.0013477905671,4.5746156582e-05,7.6383056206e-05,0.004041840245,-1.6706289926e-05
AP,kg SO2 eqv./m²a,0.0080892799208,0.0025077635907,0.0081916097774,0.00050323297735,0.00099539509363,0.0202872814,-0.00035039283443
EP,kg PO4 eqv./m²a,0.0020617851961,0.00088312895774,0.0009405702663,9.0507049531e-05,0.00013153796481,0.0041075294345,-5.8760329845e-05
Total PE,MJ/m²a,62.8945635098,21.8267778097,418.4332170366,1.4813583302,2.6296952282,507.2656119145,-5.4750039632
PENRT,MJ/m²a,52.5012311165,18.1965272114,416.0516590969,1.3195255289,2.3313101871,490.4002531407,-4.3543477866
PENRM,MJ/m²a,8.1294084942,0.0171232405,0.0,-7.0527991709,-1.054936241,0.0387963228,0.0
PENRE,MJ/m²a,44.3718226223,18.1794039709,416.0516590969,8.3723246997,3.3862464281,490.3614568179,-4.3543477866
PERT,MJ/m²a,10.3933323933,3.6302505983,2.3815579397,0.1618328014,0.2983850411,16.8653587738,-1.1206561766
PERM,MJ/m²a,1.2793481013,0.0,0.0,-1.2456455696,0.0,0.0337025316,0.0
PERE,MJ/m²a,9.1139842921,3.6302505983,2.3815579397,1.407478371,0.2983850411,16.8316562422,-1.1206561766
ADP elem.,kg Sb eqv./m²a,0.00089612285339,3.6573694648e-06,1.5479759727e-06,4.3072807566e-08,2.4464480486e-08,0.00090139573611,-1.3712025195e-07
ADP fossil,MJ/m²a,49.3343372035,17.550943606,415.417786646,1.2734846764,2.2614172655,485.8379693974,-3.9751984243
