Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,3.530186412,1.4768286934,9.517870729,0.5080630664,0.446865864,15.4798147647,-0.3832267612
ODP,kg R11 eqv./m²a,4.360055157e-07,4.35794079e-07,9.6190151652e-15,1.3568374428e-12,4.8907408125e-13,8.7180145023e-07,-2.4091023304e-11
POCP,kg ethene eqv./m²a,0.0024617064797,0.0015280159293,0.00051984366097,3.3508230563e-05,6.5759755064e-05,0.0046088340555,-2.8837203605e-05
AP,kg SO2 eqv./m²a,0.0079518588719,0.0034958979886,0.0032313366701,0.00037044431057,0.00086719724588,0.0159167351,-0.00050129948009
EP,kg PO4 eqv./m²a,0.0018649891779,0.0009018882896,0.00038315846316,6.5618173066e-05,0.0001198032384,0.0033354573421,-7.497445473e-05
Total PE,MJ/m²a,62.1045349929,28.9820074715,160.2456230379,1.1539876226,2.1479996354,254.6341527604,-7.1755878888
PENRT,MJ/m²a,53.1495132981,25.4816229192,158.3133670802,1.0156911831,1.90403256,239.8642270406,-5.8670362441
PENRM,MJ/m²a,9.8002728299,1.8739722186,0.0,-6.0454970417,-1.8770328888,3.7517151179,0.0
PENRE,MJ/m²a,43.3492404682,23.6076507006,158.3133670802,7.0611882248,3.7810654488,236.1125119227,-5.8670362441
PERT,MJ/m²a,8.9550216948,3.5003845524,1.9322559577,0.1382964396,0.2439670754,14.7699257198,-1.3085516447
PERM,MJ/m²a,1.060259559,0.0,0.0,-1.0323285906,0.0,0.0279309684,0.0
PERE,MJ/m²a,7.8947621358,3.5003845524,1.9322559577,1.1706250302,0.2439670754,14.7419947515,-1.3085516447
ADP elem.,kg Sb eqv./m²a,0.00074561060275,5.9959733963e-06,6.3755932652e-07,3.1668040616e-08,2.1383371054e-08,0.00075229718688,-1.584205722e-07
ADP fossil,MJ/m²a,50.1115509245,24.4704551784,157.7584398733,0.9613885902,1.8425972347,235.1444318012,-5.2312492277
