Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,2.2651025651,0.4525573384,54.8149134582,0.251283119,0.1244034514,57.9082599322,-0.1142056353
ODP,kg R11 eqv./m²a,2.1494070817e-10,1.6851740362e-12,1.163624924e-14,3.3253236127e-16,5.7087750508e-15,2.1664355976e-10,-3.1980317502e-15
POCP,kg ethene eqv./m²a,0.00072940419551,0.00013933570135,0.0035003475073,2.3767371585e-05,5.8873508157e-05,0.0044517282839,-1.1499436961e-05
AP,kg SO2 eqv./m²a,0.004829470632,0.0016229422453,0.0262720361,0.00025973401822,0.00076852751171,0.0337527105,-0.00014450539442
EP,kg PO4 eqv./m²a,0.0015178117128,0.00073104929081,0.0042129611307,4.7148732269e-05,9.7940420967e-05,0.0066069112876,-2.2955415448e-05
Total PE,MJ/m²a,33.9343481187,13.2549512528,922.1157034677,0.7813241906,2.0208435875,972.1071706173,-2.2337532156
PENRT,MJ/m²a,28.0012763185,10.3897969071,918.8576295967,0.6940630258,1.7909038377,959.7336696858,-1.7783765438
PENRM,MJ/m²a,3.0965220121,0.0,0.0,-3.0927512019,0.0,0.003770810163,0.0
PENRE,MJ/m²a,24.9047543064,10.3897969071,918.8576295967,3.7868142278,1.7909038377,959.7298988757,-1.7783765438
PERT,MJ/m²a,5.9330718003,2.8651543457,3.2580738711,0.0872611647,0.2299397498,12.3735009316,-0.4553766718
PERM,MJ/m²a,1.1203041089,0.0,0.0,-1.0923721818,0.0,0.0279319271,0.0
PERE,MJ/m²a,4.8127676913,2.8651543457,3.2580738711,1.1796333465,0.2299397498,12.3455690044,-0.4553766718
ADP elem.,kg Sb eqv./m²a,0.00074070834175,1.6257566823e-06,3.3240524795e-06,2.2398503527e-08,1.907459936e-08,0.00074569962401,-6.5281069885e-08
ADP fossil,MJ/m²a,26.2632375771,9.9623391371,918.069747667,0.6713885427,1.7376874021,956.7044003261,-1.6393904703
