Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,6.2068881074,1.1669478739,10.1958984744,1.1863435154,0.4402861924,19.1963641634,-0.7839005727
ODP,kg R11 eqv./m²a,1.2040285006e-10,1.0598924611e-10,3.2323673684e-14,1.3781020036e-13,1.8140345552e-13,2.2674363349e-10,-1.4115129233e-12
POCP,kg ethene eqv./m²a,0.0044398287262,0.0022107896885,0.0005776545818,6.7807149114e-05,4.9999440238e-05,0.0073460795859,-2.4621220466e-05
AP,kg SO2 eqv./m²a,0.0157127752,0.0037574382638,0.003865959892,0.00069432887028,0.00062220339237,0.0246527056,-0.00097829950124
EP,kg PO4 eqv./m²a,0.0022354990267,0.00071309843553,0.00050387272248,0.0001234712501,9.2310546009e-05,0.0036682519808,-0.00016591433404
Total PE,MJ/m²a,121.8901129074,23.13953743,173.680745024,-3.8400945617,1.6249527334,316.4952535332,-8.0141658733
PENRT,MJ/m²a,99.6948478076,20.3814239375,167.6487580292,2.2916444859,1.445977528,291.4626517883,-11.0690253035
PENRM,MJ/m²a,11.9669018213,0.0665224898,0.0,-7.8105913108,-4.055348966,0.1674840343,0.0
PENRE,MJ/m²a,87.7279459864,20.3149014476,167.6487580292,10.1022357967,5.501326494,291.2951677539,-11.0690253035
PERT,MJ/m²a,22.1952650998,2.7581134925,6.0319869948,-6.1317390476,0.1789752054,25.0326017449,3.0548594302
PERM,MJ/m²a,7.2335178303,0.0,0.0,-7.1725158486,0.0,0.0610019817,0.0
PERE,MJ/m²a,14.9617472695,2.7581134925,6.0319869948,1.040776801,0.1789752054,24.9715997632,3.0548594302
ADP elem.,kg Sb eqv./m²a,0.00057030285911,0.00056618402749,8.6368852497e-07,6.7145100742e-08,2.4678612738e-08,0.0011374423988,-3.1088867956e-07
ADP fossil,MJ/m²a,94.7683159819,19.7010987386,165.8423820843,2.2037573083,1.3967698892,283.9123240023,-9.7721981387
