process,module,component,component quantity,cost group DIN 276,mass in kg,unit for component quantity and amount of component on quarter scale,amount building element on quarter scale,mass on quarter scale in kg
Mauersteine aus Leichtbeton aus natürlichen Zuschlägen - Hohlblock -,A1 - A3 Aggregation,Mauerziegel_270mm_E,2039.0,331 Tragende Außenwände,440424.0, m²,134574.0,29067984.0
Mauersteine aus Leichtbeton aus natürlichen Zuschlägen - Hohlblock -,A1 - A3 Aggregation,Hochlochziegel,2913.3,351 Deckenkonstruktionen,372902.4, m²,192277.80000000002,24611558.400000002
Transportbeton C20/25,A1 - A3 Aggregation,G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,971.1,324 Unterböden und Bodenplatten,336894.01, m²,64092.6,22235004.66
Transportbeton C20/25,A1 - A3 Aggregation,IBO_DAm_07,971.1,361 Dachkonstruktionen,323143.24, m²,64092.6,21327453.84
Estrichmörtel-Zementestrich,A1 - A3 Aggregation,Schwimmender Estrich,2913.3,352 Deckenbeläge,218497.5, m²,192277.80000000002,14420835.0
Zementestrich,A1 - A3 Aggregation,G_Voranstrich_Kunstharz_5mm,971.1,325 Bodenbeläge,151491.6, m²,64092.6,9998445.6
Kies 2/32 getrocknet,A1 - A3 Aggregation,IBO_DAm_07,971.1,363 Dachbeläge,107792.1, m²,64092.6,7114278.600000001
Bewehrungsstahl,A1 - A3 Aggregation,IBO_DAm_07,971.1,361 Dachkonstruktionen,68608.22, m²,64092.6,4528142.5200000005
Kunstharzputz,A1 - A3 Aggregation,WDVS (Roe),2039.0,"335 Außenwandbekleidungen, außen",51994.5, m²,134574.0,3431637.0
Gipsputz (Gips),A1 - A3 Aggregation,Gips-Putz/Anstrich,2039.0,"336 Außenwandbekleidungen, innen",36702.0, m²,134574.0,2422332.0
Bewehrungsstahl,A1 - A3 Aggregation,G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,971.1,324 Unterböden und Bodenplatten,22869.41, m²,64092.6,1509381.06
Kunstharzestrich,A1 - A3 Aggregation,WDVS (Roe),2039.0,"335 Außenwandbekleidungen, außen",14680.8, m²,134574.0,968932.7999999999
Isolierglas 2-Scheiben,A1 - A3 Aggregation,Fenster 3,159.0,334 Außentüren und -fenster,8910.17, Stück,10494.0,588071.22
Kalk-Gips-Innenputz,A1 - A3 Aggregation,IBO_DAm_07,971.1,361 Dachkonstruktionen,8739.9, m²,64092.6,576833.4
Voranstrich (Kunstharz),A1 - A3 Aggregation,G_Voranstrich_Kunstharz_5mm,971.1,325 Bodenbeläge,7526.03, m²,64092.6,496717.98
"Linoleum (Dicke 0,0025 m)",A1 - A3 Aggregation,Schwimmender Estrich,2913.3,352 Deckenbeläge,6991.92, m²,192277.80000000002,461466.72000000003
"Bitumenbahnen V 60 (Dicke 0,005 m)",A1 - A3 Aggregation,G_Voranstrich_Kunstharz_5mm,971.1,325 Bodenbeläge,4855.5, m²,64092.6,320463.0
Blendrahmen PVC-U,A1 - A3 Aggregation,Fenster 3,159.0,334 Außentüren und -fenster,3134.21, Stück,10494.0,206857.86000000002
"Dampfbremse PE (Dicke 0,0002 m)",A1 - A3 Aggregation,Schwimmender Estrich,2913.3,352 Deckenbeläge,2913.3, m²,192277.80000000002,192277.80000000002
XPS-Dämmstoff,A1 - A3 Aggregation,IBO_DAm_07,971.1,363 Dachbeläge,1553.76, m²,64092.6,102548.16
"Bitumenbahnen PYE PV 200 S5 (ungeschiefert) (Dicke 0,004 m)",A1 - A3 Aggregation,IBO_DAm_07,971.1,363 Dachbeläge,1264.86, m²,64092.6,83480.76
"Elastomer Fugenbänder, Polyurethan",A1 - A3 Aggregation,Fenster 3,159.0,334 Außentüren und -fenster,1200.13, Stück,10494.0,79208.58
Innenfarbe Dispersionsfarbe scheuerfest,A1 - A3 Aggregation,Gips-Putz/Anstrich,2039.0,"336 Außenwandbekleidungen, innen",954.25, m²,134574.0,62980.5
PE-HD mit PP-Vlies zur Abdichtung,A1 - A3 Aggregation,IBO_DAm_07,971.1,363 Dachbeläge,384.56, m²,64092.6,25380.96
XPS-Dämmstoff,A1 - A3 Aggregation,G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,971.1,324 Unterböden und Bodenplatten,310.75, m²,64092.6,20509.5
"PE-Noppenfolie zur Abdichtung (Dicke 0,00125 m)",A1 - A3 Aggregation,G_Voranstrich_Kunstharz_5mm,971.1,325 Bodenbeläge,186.45, m²,64092.6,12305.699999999999
Flügelrahmen PVC-U,A1 - A3 Aggregation,Fenster 3,159.0,334 Außentüren und -fenster,0.0, Stück,10494.0,0.0
